give up	<div class="pos"><b>phrasal verb</b></div><div class="ipa">/ɡɪv ʌp/</div><div class="translation"><b>🇵🇱 porzucić; przestać</b></div><div class="definition">🇬🇧 to stop doing something, especially a habit, activity, or attempt</div>	<div class="example"><p>1. <i>He finally decided to <b>give up</b> staying up late every night.</i></p><p>   🇵🇱 <i>W końcu zdecydował się porzucić codzienne zarywanie nocy.</i></p><p>2. <i>Don't <b>give up</b> on your English after one difficult lesson.</i></p><p>   🇵🇱 <i>Nie rezygnuj z angielskiego po jednej trudnej lekcji.</i></p></div>	fce vocabulary character-habits
get in the way of	<div class="pos"><b>phrase</b></div><div class="ipa">/ɡet ɪn ðə ˈweɪ əv/</div><div class="translation"><b>🇵🇱 przeszkadzać w</b></div><div class="definition">🇬🇧 to prevent something from happening easily or successfully</div>	<div class="example"><p>1. <i>Try to choose a new habit that doesn't <b>get in the way of</b> your daily life.</i></p><p>   🇵🇱 <i>Spróbuj wybrać nowy nawyk, który nie będzie przeszkadzał w twoim codziennym życiu.</i></p><p>2. <i>Too much stress can <b>get in the way of</b> effective learning.</i></p><p>   🇵🇱 <i>Zbyt duży stres może przeszkadzać w skutecznej nauce.</i></p></div>	fce vocabulary character-habits
take time out	<div class="pos"><b>phrase</b></div><div class="ipa">/teɪk taɪm aʊt/</div><div class="translation"><b>🇵🇱 zrobić sobie przerwę</b></div><div class="definition">🇬🇧 to stop your usual activities for a while in order to rest or do something different</div>	<div class="example"><p>1. <i>Sometimes you need to <b>take time out</b> and do something you enjoy.</i></p><p>   🇵🇱 <i>Czasem trzeba zrobić sobie przerwę i zrobić coś, co sprawia przyjemność.</i></p><p>2. <i>She took time out from work to prepare for an important exam.</i></p><p>   🇵🇱 <i>Zrobiła sobie przerwę od pracy, żeby przygotować się do ważnego egzaminu.</i></p></div>	fce vocabulary character-habits
make an effort	<div class="pos"><b>phrase</b></div><div class="ipa">/meɪk ən ˈefət/</div><div class="translation"><b>🇵🇱 postarać się; włożyć wysiłek</b></div><div class="definition">🇬🇧 to try hard to do something well</div>	<div class="example"><p>1. <i>You have to <b>make an effort</b> if you want real progress in English.</i></p><p>   🇵🇱 <i>Musisz się postarać, jeśli chcesz robić prawdziwe postępy w angielskim.</i></p><p>2. <i>He made an effort to speak more clearly during the presentation.</i></p><p>   🇵🇱 <i>Postarał się mówić wyraźniej podczas prezentacji.</i></p></div>	fce vocabulary character-habits
rely on	<div class="pos"><b>phrasal verb</b></div><div class="ipa">/rɪˈlaɪ ɒn/</div><div class="translation"><b>🇵🇱 polegać na</b></div><div class="definition">🇬🇧 to trust or depend on someone or something</div>	<div class="example"><p>1. <i>She's such a loyal friend that I can always <b>rely on</b> her.</i></p><p>   🇵🇱 <i>Jest tak lojalną przyjaciółką, że zawsze mogę na niej polegać.</i></p><p>2. <i>You can't <b>rely on</b> luck alone in the exam.</i></p><p>   🇵🇱 <i>Na egzaminie nie możesz polegać wyłącznie na szczęściu.</i></p></div>	fce vocabulary character-habits
look forward to	<div class="pos"><b>phrase</b></div><div class="ipa">/ˌlʊk ˈfɔːwəd tuː/</div><div class="translation"><b>🇵🇱 czekać z niecierpliwością na</b></div><div class="definition">🇬🇧 to feel happy and excited about something that is going to happen</div>	<div class="example"><p>1. <i>He loves his job and always <b>looks forward to</b> going to work.</i></p><p>   🇵🇱 <i>Kocha swoją pracę i zawsze czeka z radością na pójście do pracy.</i></p><p>2. <i>I'm really <b>looking forward to</b> using these new words in speaking practice.</i></p><p>   🇵🇱 <i>Naprawdę nie mogę się doczekać użycia tych nowych słów w ćwiczeniu mówienia.</i></p></div>	fce vocabulary character-habits
do well in	<div class="pos"><b>phrase</b></div><div class="ipa">/duː wel ɪn/</div><div class="translation"><b>🇵🇱 dobrze radzić sobie w</b></div><div class="definition">🇬🇧 to be successful in a subject, activity, or area of life</div>	<div class="example"><p>1. <i>She works hard because she wants to <b>do well in</b> her career.</i></p><p>   🇵🇱 <i>Ciężko pracuje, bo chce dobrze radzić sobie w swojej karierze.</i></p><p>2. <i>Students usually do well in exams when they revise actively.</i></p><p>   🇵🇱 <i>Uczniowie zwykle dobrze wypadają na egzaminach, gdy powtarzają aktywnie.</i></p></div>	fce vocabulary character-habits
sensible	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈsensəbl/</div><div class="translation"><b>🇵🇱 rozsądny</b></div><div class="definition">🇬🇧 practical and reasonable, showing good judgement</div>	<div class="example"><p>1. <i>It would be <b>sensible</b> to revise a little every day instead of waiting until the last minute.</i></p><p>   🇵🇱 <i>Rozsądnie byłoby powtarzać codziennie po trochu, zamiast czekać do ostatniej chwili.</i></p><p>2. <i>She made a <b>sensible</b> decision and asked for feedback before sending the report.</i></p><p>   🇵🇱 <i>Podjęła rozsądną decyzję i poprosiła o informację zwrotną przed wysłaniem raportu.</i></p></div>	fce vocabulary character-habits
reckless	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈrekləs/</div><div class="translation"><b>🇵🇱 lekkomyślny</b></div><div class="definition">🇬🇧 careless and dangerous because you do not think about the possible results</div>	<div class="example"><p>1. <i>It was <b>reckless</b> to ignore all the warnings before the exam.</i></p><p>   🇵🇱 <i>Lekkomyślnością było zignorować wszystkie ostrzeżenia przed egzaminem.</i></p><p>2. <i>He made a <b>reckless</b> choice and spent all his time gaming instead of studying.</i></p><p>   🇵🇱 <i>Podjął lekkomyślną decyzję i spędził cały czas na graniu zamiast na nauce.</i></p></div>	fce vocabulary character-habits
knit	<div class="pos"><b>verb</b></div><div class="ipa">/nɪt/</div><div class="translation"><b>🇵🇱 robić na drutach; dziergać</b></div><div class="definition">🇬🇧 to make clothes or other things from wool using needles or a machine</div>	<div class="example"><p>1. <i>My grandmother used to <b>knit</b> warm scarves every winter.</i></p><p>   🇵🇱 <i>Moja babcia robiła na drutach ciepłe szaliki każdej zimy.</i></p><p>2. <i>She takes time out in the evening to <b>knit</b> and relax.</i></p><p>   🇵🇱 <i>Wieczorem robi sobie przerwę, żeby dziergać i się odprężyć.</i></p></div>	fce vocabulary character-habits
research (v.)	<div class="pos"><b>verb</b></div><div class="ipa">/rɪˈsɜːtʃ/</div><div class="translation"><b>🇵🇱 badać; prowadzić badania</b></div><div class="definition">🇬🇧 to study a subject carefully in order to discover new facts or information</div>	<div class="example"><p>1. <i>Before writing the essay, you should <b>research</b> the topic carefully.</i></p><p>   🇵🇱 <i>Przed napisaniem eseju powinieneś dokładnie zbadać temat.</i></p><p>2. <i>Scientists <b>research</b> new forms of energy to solve future problems.</i></p><p>   🇵🇱 <i>Naukowcy badają nowe formy energii, aby rozwiązywać przyszłe problemy.</i></p></div>	fce vocabulary character-habits
research (n.)	<div class="pos"><b>noun</b></div><div class="ipa">/rɪˈsɜːtʃ/</div><div class="translation"><b>🇵🇱 badania</b></div><div class="definition">🇬🇧 careful study of a subject to discover new facts or develop new ideas</div>	<div class="example"><p>1. <i>Her <b>research</b> on climate change was published in an international journal.</i></p><p>   🇵🇱 <i>Jej badania nad zmianą klimatu zostały opublikowane w międzynarodowym czasopiśmie.</i></p><p>2. <i>Good essays are based on clear arguments and reliable <b>research</b>.</i></p><p>   🇵🇱 <i>Dobre eseje opierają się na jasnych argumentach i rzetelnych badaniach.</i></p></div>	fce vocabulary character-habits
